belongs_to_collection,budget,id,original_language,overview,production_companies,revenue,runtime,tagline,title,vote_average,vote_count,release_month,release_day,spoken_lang_en,spoken_lang_fr,spoken_lang_de,spoken_lang_es,spoken_lang_it,spoken_lang_ja,spoken_lang_ru,spoken_lang_other,genre_Drama,genre_Comedy,genre_Thriller,genre_Romance,genre_Action,genre_Horror,genre_Crime,genre_other,production_US,production_GB,production_FR,production_DE,production_IT,production_CA,production_JP,production_other
10194,30000000,862,en,"['led', 'woody', 'andys', 'toy', 'live', 'happily', 'room', 'andys', 'birthday', 'brings', 'buzz', 'lightyear', 'onto', 'scene', 'afraid', 'losing', 'place', 'andys', 'heart', 'woody', 'plot', 'buzz', 'circumstance', 'separate', 'buzz', 'woody', 'owner', 'duo', 'eventually', 'learns', 'put', 'aside', 'difference']",52,373554033.0,81.0,[],"['toy', 'story']",7.7,5415.0,10.0,Monday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,65000000,8844,en,"['sibling', 'judy', 'peter', 'discover', 'enchanted', 'board', 'game', 'open', 'door', 'magical', 'world', 'unwittingly', 'invite', 'alan', 'adult', 'trapped', 'inside', 'game', '26', 'year', 'living', 'room', 'alans', 'hope', 'freedom', 'finish', 'game', 'prof', 'risky', 'three', 'find', 'running', 'giant', 'rhinoceros', 'evil', 'monkey', 'terrifying', 'creature']",196,262797249.0,104.0,"['roll', 'dice', 'unleash', 'excitement']",['jumanji'],6.9,2413.0,12.0,Friday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,16000000,31357,en,"['cheated', 'mistreated', 'stepped', 'woman', 'holding', 'breath', 'waiting', 'elusive', 'good', 'man', 'break', 'string', 'lessthanstellar', 'lover', 'friend', 'confidant', 'vannah', 'bernie', 'glo', 'robin', 'talk', 'determined', 'find', 'better', 'way', 'breathe']",812,81452156.0,127.0,"['friend', 'people', 'let', 'never', 'let', 'forget']","['waiting', 'exhale']",6.1,34.0,12.0,Friday,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
96871,0,11862,en,"['george', 'bank', 'recovered', 'daughter', 'wedding', 'receives', 'news', 'shes', 'pregnant', 'george', 'wife', 'nina', 'expecting', 'planning', 'selling', 'home', 'plan', 'like', 'george', 'change', 'arrival', 'grandchild', 'kid']",224,76578911.0,106.0,"['world', 'back', 'normal', 'he', 'surprise', 'life']","['father', 'bride', 'part', 'ii']",5.7,173.0,2.0,Friday,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-1,60000000,949,en,"['obsessive', 'master', 'thief', 'neil', 'mccauley', 'lead', 'topnotch', 'crew', 'various', 'insane', 'heist', 'throughout', 'los', 'angeles', 'mentally', 'unstable', 'detective', 'vincent', 'hanna', 'pursues', 'without', 'rest', 'man', 'recognizes', 'respect', 'ability', 'dedication', 'even', 'though', 'aware', 'catandmouse', 'game', 'may', 'end', 'violence']",1184,187436818.0,170.0,"['los', 'angeles', 'crime', 'saga']",['heat'],7.7,1886.0,12.0,Friday,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
-1,35000000,9091,en,"['international', 'action', 'superstar', 'jean', 'claude', 'van', 'damme', 'team', 'power', 'boothe', 'tensionpacked', 'suspense', 'thriller', 'set', 'backdrop', 'stanley', 'cup', 'gamevan', 'damme', 'portrays', 'father', 'whose', 'daughter', 'suddenly', 'taken', 'championship', 'hockey', 'game', 'captor', 'demanding', 'billion', 'dollar', 'game', 'end', 'van', 'damme', 'frantically', 'set', 'plan', 'motion', 'rescue', 'daughter', 'abort', 'impending', 'explosion', 'final', 'buzzer']",819,64350171.0,106.0,"['terror', 'go', 'overtime']","['sudden', 'death']",5.5,174.0,12.0,Friday,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
645,58000000,710,en,"['james', 'bond', 'must', 'unmask', 'mysterious', 'head', 'janus', 'syndicate', 'prevent', 'leader', 'utilizing', 'goldeneye', 'weapon', 'system', 'inflict', 'devastating', 'revenge', 'britain']",270,352194034.0,130.0,"['limit', 'fear', 'substitute']",['goldeneye'],6.6,1194.0,11.0,Thursday,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
-1,62000000,9087,en,"['widowed', 'u', 'president', 'andrew', 'shepherd', 'one', 'world', 'powerful', 'men', 'anything', 'want', 'covets', 'sydney', 'ellen', 'wade', 'washington', 'lobbyist', 'shepherd', 'attempt', 'courting', 'spark', 'wild', 'rumor', 'decimate', 'approval', 'rating']",420,107879496.0,106.0,"['powerful', 'man', 'world', 'one', 'thing', 'want']","['american', 'president']",6.5,199.0,11.0,Friday,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
117693,0,21032,en,"['outcast', 'halfwolf', 'risk', 'life', 'prevent', 'deadly', 'epidemic', 'ravaging', 'nome', 'alaska']",819,11348324.0,78.0,"['part', 'dog', 'part', 'wolf', 'hero']",['balto'],7.1,423.0,12.0,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-1,44000000,10858,en,"['allstar', 'cast', 'power', 'epic', 'look', 'american', 'president', 'richard', 'nixon', 'man', 'carrying', 'fate', 'world', 'shoulder', 'battling', 'selfdestructive', 'demand', 'within', 'spanning', 'troubled', 'boyhood', 'california', 'shocking', 'watergate', 'scandal', 'would', 'end', 'presidency']",83,13681765.0,192.0,"['triumphant', 'victory', 'bitter', 'defeat', 'changed', 'world', 'lost', 'nation']",['nixon'],7.1,72.0,12.0,Friday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
