,title,tagline,overview,vote_count,vote_average,release_date,runtime,original_language,spoken_lang_en,spoken_lang_fr,spoken_lang_de,spoken_lang_es,spoken_lang_it,spoken_lang_ja,spoken_lang_ru,spoken_lang_other,Drama,Comedy,Thriller,Romance,Action,Horror,Crime,Documentary,Adventure,Science Fiction,Family,Mystery,Fantasy,Animation,Foreign,Music,History,War,Western,TV Movie,production_companies,production_US,production_GB,production_FR,production_DE,production_IT,production_CA,production_JP,production_other,revenue
0,"['toy', 'story']",[],"['led', 'woody', 'andys', 'toy', 'live', 'happily', 'room', 'andys', 'birthday', 'brings', 'buzz', 'lightyear', 'onto', 'scene', 'afraid', 'losing', 'place', 'andys', 'heart', 'woody', 'plot', 'buzz', 'circumstance', 'separate', 'buzz', 'woody', 'owner', 'duo', 'eventually', 'learns', 'put', 'aside', 'difference']",5415.0,7.7,1995-10-30,81.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,1,0,0,0,0,0,0,0,373554033.0
1,['jumanji'],"['roll', 'dice', 'unleash', 'excitement']","['sibling', 'judy', 'peter', 'discover', 'enchanted', 'board', 'game', 'open', 'door', 'magical', 'world', 'unwittingly', 'invite', 'alan', 'adult', 'trapped', 'inside', 'game', '26', 'year', 'living', 'room', 'alans', 'hope', 'freedom', 'finish', 'game', 'prof', 'risky', 'three', 'find', 'running', 'giant', 'rhinoceros', 'evil', 'monkey', 'terrifying', 'creature']",2413.0,6.9,1995-12-15,104.0,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,1,0,0,0,0,0,0,0,262797249.0
3,"['waiting', 'exhale']","['friend', 'people', 'let', 'never', 'let', 'forget']","['cheated', 'mistreated', 'stepped', 'woman', 'holding', 'breath', 'waiting', 'elusive', 'good', 'man', 'break', 'string', 'lessthanstellar', 'lover', 'friend', 'confidant', 'vannah', 'bernie', 'glo', 'robin', 'talk', 'determined', 'find', 'better', 'way', 'breathe']",34.0,6.1,1995-12-22,127.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,1,0,0,0,0,0,0,0,81452156.0
4,"['father', 'bride', 'part', 'ii']","['world', 'back', 'normal', 'he', 'surprise', 'life']","['george', 'bank', 'recovered', 'daughter', 'wedding', 'receives', 'news', 'shes', 'pregnant', 'george', 'wife', 'nina', 'expecting', 'planning', 'selling', 'home', 'plan', 'like', 'george', 'change', 'arrival', 'grandchild', 'kid']",173.0,5.7,1995-02-10,106.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,225,1,0,0,0,0,0,0,0,76578911.0
5,['heat'],"['los', 'angeles', 'crime', 'saga']","['obsessive', 'master', 'thief', 'neil', 'mccauley', 'lead', 'topnotch', 'crew', 'various', 'insane', 'heist', 'throughout', 'los', 'angeles', 'mentally', 'unstable', 'detective', 'vincent', 'hanna', 'pursues', 'without', 'rest', 'man', 'recognizes', 'respect', 'ability', 'dedication', 'even', 'though', 'aware', 'catandmouse', 'game', 'may', 'end', 'violence']",1886.0,7.7,1995-12-15,170.0,en,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,187436818.0
8,"['sudden', 'death']","['terror', 'go', 'overtime']","['international', 'action', 'superstar', 'jean', 'claude', 'van', 'damme', 'team', 'power', 'boothe', 'tensionpacked', 'suspense', 'thriller', 'set', 'backdrop', 'stanley', 'cup', 'gamevan', 'damme', 'portrays', 'father', 'whose', 'daughter', 'suddenly', 'taken', 'championship', 'hockey', 'game', 'captor', 'demanding', 'billion', 'dollar', 'game', 'end', 'van', 'damme', 'frantically', 'set', 'plan', 'motion', 'rescue', 'daughter', 'abort', 'impending', 'explosion', 'final', 'buzzer']",174.0,5.5,1995-12-22,106.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,64350171.0
9,['goldeneye'],"['limit', 'fear', 'substitute']","['james', 'bond', 'must', 'unmask', 'mysterious', 'head', 'janus', 'syndicate', 'prevent', 'leader', 'utilizing', 'goldeneye', 'weapon', 'system', 'inflict', 'devastating', 'revenge', 'britain']",1194.0,6.6,1995-11-16,130.0,en,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,279,1,1,0,0,0,0,0,0,352194034.0
10,"['american', 'president']","['powerful', 'man', 'world', 'one', 'thing', 'want']","['widowed', 'u', 'president', 'andrew', 'shepherd', 'one', 'world', 'powerful', 'men', 'anything', 'want', 'covets', 'sydney', 'ellen', 'wade', 'washington', 'lobbyist', 'shepherd', 'attempt', 'courting', 'spark', 'wild', 'rumor', 'decimate', 'approval', 'rating']",199.0,6.5,1995-11-17,106.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431,1,0,0,0,0,0,0,0,107879496.0
12,['balto'],"['part', 'dog', 'part', 'wolf', 'hero']","['outcast', 'halfwolf', 'risk', 'life', 'prevent', 'deadly', 'epidemic', 'ravaging', 'nome', 'alaska']",423.0,7.1,1995-12-22,78.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,11348324.0
13,['nixon'],"['triumphant', 'victory', 'bitter', 'defeat', 'changed', 'world', 'lost', 'nation']","['allstar', 'cast', 'power', 'epic', 'look', 'american', 'president', 'richard', 'nixon', 'man', 'carrying', 'fate', 'world', 'shoulder', 'battling', 'selfdestructive', 'demand', 'within', 'spanning', 'troubled', 'boyhood', 'california', 'shocking', 'watergate', 'scandal', 'would', 'end', 'presidency']",72.0,7.1,1995-12-22,192.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,1,0,0,0,0,0,0,0,13681765.0
